   Dataset   |Pocet zhlukov|Algoritmus||                    PC|                   MPC|                    PE|                    FS|               XIEBENI|                  KWON|                   FHV|                  PBMF|                 PCAES|            SILHOUETTE||
        Title|            3|       FCM||           0.853+-0.06|           0.780+-0.05|           0.271+-0.02|      -1450.643+-98.04|           0.046+-0.00|           1.031+-0.07|          14.676+-0.99|        159.769+-10.80|           2.947+-0.20|           0.548+-0.04||
        Title|            3|       FCM||           0.853+-0.06|           0.780+-0.05|           0.271+-0.02|      -1450.644+-94.78|           0.046+-0.00|           1.031+-0.07|          14.676+-0.96|        159.769+-10.44|           2.947+-0.19|           0.548+-0.04||
        Title|            3|       FCM||           0.853+-0.05|           0.780+-0.05|           0.271+-0.02|      -1450.644+-91.72|           0.046+-0.00|           1.031+-0.07|          14.676+-0.93|        159.769+-10.10|           2.947+-0.19|           0.548+-0.03||
        Title|            3|       FCM||           0.853+-0.05|           0.780+-0.05|           0.271+-0.02|      -1450.644+-88.85|           0.046+-0.00|           1.031+-0.06|          14.676+-0.90|         159.769+-9.79|           2.947+-0.18|           0.548+-0.03||
        Title|            3|       FCM||           0.853+-0.05|           0.780+-0.05|           0.271+-0.02|      -1450.643+-86.16|           0.046+-0.00|           1.031+-0.06|          14.676+-0.87|         159.769+-9.49|           2.947+-0.18|           0.548+-0.03||
        Title|            3|       FCM||           0.853+-0.05|           0.780+-0.04|           0.271+-0.02|      -1450.643+-83.63|           0.046+-0.00|           1.031+-0.06|          14.676+-0.85|         159.769+-9.21|           2.947+-0.17|           0.548+-0.03||
        Title|            3|       FCM||           0.853+-0.05|           0.780+-0.04|           0.271+-0.02|      -1450.643+-81.24|           0.046+-0.00|           1.031+-0.06|          14.676+-0.82|         159.769+-8.95|           2.947+-0.17|           0.548+-0.03||
        Title|            3|       FCM||           0.853+-0.05|           0.780+-0.04|           0.271+-0.01|      -1450.643+-78.98|           0.046+-0.00|           1.031+-0.06|          14.676+-0.80|         159.769+-8.70|           2.947+-0.16|           0.548+-0.03||
        Title|            3|       FCM||           0.853+-0.05|           0.780+-0.04|           0.271+-0.01|      -1450.643+-76.84|           0.046+-0.00|           1.031+-0.05|          14.676+-0.78|         159.769+-8.46|           2.947+-0.16|           0.548+-0.03||
        Title|            3|       FCM||           0.853+-0.04|           0.780+-0.04|           0.271+-0.01|      -1450.643+-74.82|           0.046+-0.00|           1.031+-0.05|          14.676+-0.76|         159.769+-8.24|           2.947+-0.15|           0.548+-0.03||
        Title|            3|       FCM||           0.853+-0.04|           0.780+-0.04|           0.271+-0.01|      -1450.643+-72.90|           0.046+-0.00|           1.031+-0.05|          14.676+-0.74|         159.769+-8.03|           2.947+-0.15|           0.548+-0.03||
